timestamp,action,pill_box_detected,gesture_class,status
2025-10-25 23:33:26,system_startup,False,N/A,System started
2025-10-25 23:33:45,reminder_started,False,N/A,Time for your night pill (23:30)
2025-10-25 23:33:47,gesture_start,True,N/A,Hand near marker
2025-10-25 23:33:49,gesture_start,True,N/A,Hand near marker
2025-10-25 23:33:50,gesture_start,True,N/A,Hand near marker
2025-10-25 23:33:51,take_attempt,True,unknown,low_score_gesture (0)
2025-10-25 23:33:54,gesture_start,False,N/A,Hand near marker
2025-10-25 23:33:55,take_attempt,True,take_pill,SUCCESS
2025-10-25 23:34:05,gesture_start,False,N/A,Hand near marker
2025-10-25 23:34:06,take_attempt,True,take_pill,WARNING
